run_id,params,best_epoch,best_val_score,own_test_acc,own_test_macro_f1,own_test_dos_sat,own_test_scan_sat,own_test_dos_loss,own_test_scan_loss,cross_acc,cross_macro_f1,cross_dos_sat,cross_scan_sat,cross_dos_loss,cross_scan_loss,final_score,runtime_seconds,status
bs524_lr0.0005_ldos1.0_lscan0.75_pgd3_step0.01,"{'batch_size': 524, 'learning_rate': 0.0005, 'lambda_dos': 1.0, 'lambda_scan': 0.75, 'pgd_steps': 3, 'pgd_step_size': 0.01}",3,3.5052378155937105,0.8727754638394547,0.8743154384378714,0.9406618486116394,0.8738511029411765,0.0365866738700649,0.026284525965285653,0.9350512145219798,0.9241711856303579,0.1536338437141493,0.17252952855849646,5.101206076622073,0.6618333024173657,1.0920191376272381,83.79592871665955,ok
bs524_lr0.0005_ldos1.0_lscan0.75_pgd5_step0.001,"{'batch_size': 524, 'learning_rate': 0.0005, 'lambda_dos': 1.0, 'lambda_scan': 0.75, 'pgd_steps': 5, 'pgd_step_size': 0.001}",2,3.50871072799506,0.8522340022718667,0.8627936136705259,0.9547356409281096,0.8894761029411765,0.01801743207888351,0.013224907780942671,0.9440064641995259,0.9350725551743174,0.16329557509122689,0.17248631866861688,5.043758107891611,0.6733779385729544,1.093743740035495,91.54382967948914,ok
bs524_lr0.0005_ldos1.0_lscan0.75_pgd5_step0.01,"{'batch_size': 524, 'learning_rate': 0.0005, 'lambda_dos': 1.0, 'lambda_scan': 0.75, 'pgd_steps': 5, 'pgd_step_size': 0.01}",3,3.5225239808179563,0.8448031048845135,0.8601009296746174,0.9490300494484595,0.9230238970588235,0.030574322449657663,0.008586063953664373,0.8346994860183599,0.8387235341722362,0.16237196369505053,0.17254573226720132,5.097323998516595,0.5420416194806649,1.0107524198034523,100.00199747085571,ok
bs524_lr0.0005_ldos1.0_lscan1.0_pgd3_step0.001,"{'batch_size': 524, 'learning_rate': 0.0005, 'lambda_dos': 1.0, 'lambda_scan': 1.0, 'pgd_steps': 3, 'pgd_step_size': 0.001}",2,3.5055309198122515,0.8257288905717531,0.8419544938083817,0.9589197413465196,0.9496783088235294,0.016430193104187134,0.003280567388762446,0.8693635399270185,0.8549843247340504,0.16603076112060527,0.1725478927616953,5.02785786369361,0.6293698006807671,1.0218379012211578,78.22185730934143,ok
bs524_lr0.0005_ldos1.0_lscan1.0_pgd3_step0.01,"{'batch_size': 524, 'learning_rate': 0.0005, 'lambda_dos': 1.0, 'lambda_scan': 1.0, 'pgd_steps': 3, 'pgd_step_size': 0.01}",3,3.471462735203914,0.8448504354411208,0.8538615601663412,0.9589197413465196,0.8818933823529411,0.028976934361521305,0.01976888540529591,0.9310715836640691,0.9202508800253725,0.16367042088593237,0.17252952855849646,5.082976513134489,0.6639840113690086,1.0791893142333995,84.36348342895508,ok
bs524_lr0.0005_ldos1.0_lscan1.0_pgd5_step0.001,"{'batch_size': 524, 'learning_rate': 0.0005, 'lambda_dos': 1.0, 'lambda_scan': 1.0, 'pgd_steps': 5, 'pgd_step_size': 0.001}",3,3.55549172958971,0.8555471412343809,0.8671587755999485,0.9509319132750095,0.9494485294117647,0.03379659001570593,0.0070361550007125035,0.9291347003502162,0.9182094403440463,0.1585144007760496,0.17252844831124947,5.096339510674131,0.6421313504365467,1.0823863136439538,101.04207181930542,ok
bs524_lr0.0005_ldos1.0_lscan1.0_pgd5_step0.01,"{'batch_size': 524, 'learning_rate': 0.0005, 'lambda_dos': 1.0, 'lambda_scan': 1.0, 'pgd_steps': 5, 'pgd_step_size': 0.01}",2,3.507059702998024,0.852139341158652,0.8627910690448005,0.9532141498668696,0.8855698529411765,0.02308244961847049,0.012325952322605778,0.9335421091179349,0.9240396281906263,0.16386378514314356,0.17248631866861688,5.046082690317974,0.6792518012432072,1.0850685288713842,92.11609125137329,ok
bs524_lr0.0001_ldos0.25_lscan0.25_pgd3_step0.001,"{'batch_size': 524, 'learning_rate': 0.0001, 'lambda_dos': 0.25, 'lambda_scan': 0.25, 'pgd_steps': 3, 'pgd_step_size': 0.001}",18,3.63828196134278,0.892938280954184,0.8987202436228535,0.9562571319893496,0.9409466911764706,0.0262621284868836,0.010966716060305344,0.7319809357965851,0.7551530619453,0.16162983383636848,0.17274341751340047,5.0891403727659945,0.4465544735348677,0.955502516627033,160.16375970840454,ok
bs524_lr0.0001_ldos0.25_lscan0.25_pgd3_step0.01,"{'batch_size': 524, 'learning_rate': 0.0001, 'lambda_dos': 0.25, 'lambda_scan': 0.25, 'pgd_steps': 3, 'pgd_step_size': 0.01}",15,3.6212694399719796,0.8945001893222264,0.899323134264043,0.9608216051730696,0.9083180147058824,0.024894424244767135,0.014496617827235776,0.9212240497605092,0.911960625447035,0.1629833836368468,0.1725154853442856,5.0461704966379735,0.6451128387718922,1.0911121923689242,160.76779675483704,ok
bs524_lr0.0001_ldos0.25_lscan0.25_pgd5_step0.001,"{'batch_size': 524, 'learning_rate': 0.0001, 'lambda_dos': 0.25, 'lambda_scan': 0.25, 'pgd_steps': 5, 'pgd_step_size': 0.001}",16,3.6449127848344998,0.8953048087845513,0.9007758707761019,0.9577786230505896,0.9393382352941176,0.02495382973883895,0.01070055681938196,0.9236319208740497,0.9114091348063281,0.16269711811639448,0.1727380162771655,5.078883003203442,0.5965057106245659,1.0920102795775097,202.1115550994873,ok
